city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Meylan,FR,45.2199,5.7901,1651192384,4,66,58.95,3.11
Wheatley,GB,51.7473,-1.1394,1651192385,40,86,47.61,3.44
Buchanan,LR,5.8808,-10.0467,1651192385,100,83,79.3,3.09
Grand-Santi,GF,4.25,-54.3833,1651192386,96,99,73.54,2.64
Champerico,GT,14.3,-91.9167,1651192386,5,64,84.74,4.23
Beaverlodge,CA,55.2166,-119.4361,1651192227,100,97,34.95,14.38
Mehamn,NO,71.0357,27.8492,1651192387,100,72,25.86,18.48
Port Hardy,CA,50.6996,-127.4199,1651192387,75,62,51.98,5.75
Oktyabr'skoye,RU,43.0645,44.7417,1651192388,100,88,55.54,6.71
Lubāna,LV,56.9,26.7167,1651192388,100,85,34.97,7.11
Paranaíba,BR,-19.6772,-51.1908,1651192389,25,45,76.26,4.12
Forsytheganj,BY,52.6333,29.7333,1651192389,10,80,36.86,2.08
Son La,VN,21.3167,103.9,1651192389,94,75,79.18,3.58
Salym,RU,60.0625,71.4789,1651192390,100,90,49.55,8.57
Nikolskoye,RU,59.7035,30.7861,1651192390,100,87,35.71,8.41
Cibitoke Province,BI,-2.8833,29.25,1651192391,100,97,61.59,2.93
Fairbanks,US,64.8378,-147.7164,1651192197,75,38,52.83,4.61
Ewo,CG,-0.8725,14.8206,1651192391,94,91,72.82,2.08
Wanning,CN,18.8003,110.3967,1651192392,100,79,83.71,5.03
Atherton,GB,53.5237,-2.4935,1651192392,86,74,48.22,1.99
Praia,CV,14.9215,-23.5087,1651192392,20,73,70.34,19.57
Oranjemund,NA,-28.55,16.4333,1651192393,0,95,54.19,1.23
Sur,OM,22.5667,59.5289,1651192394,86,40,87.58,8.84
Sangīn,AF,32.0728,64.8359,1651192394,1,24,76.23,2.35
Ivanteyevka,RU,55.9711,37.9208,1651192394,30,91,36.34,3.11
Dorchester,US,33.1002,-80.3831,1651192395,0,45,68.2,0.0
Palagiano,IT,40.5782,17.0374,1651192395,50,65,59.83,18.86
Malindi,KE,-3.2175,40.1191,1651192396,70,87,77.67,11.86
Marrakesh,MA,31.6315,-8.0083,1651192160,40,72,59.07,9.22
Novaya Ladoga,RU,60.1025,32.3019,1651192396,100,65,31.96,8.88
Shakawe,BW,-18.3667,21.85,1651192397,0,54,59.92,6.38
Arlit,NE,18.7369,7.3853,1651192397,48,8,77.86,7.0
Mbanza-Ngungu,CD,-5.25,14.8667,1651192397,77,96,67.14,1.97
Kathu,TH,7.9178,98.3332,1651192398,38,72,89.74,7.56
Lebu,CL,-37.6167,-73.65,1651192398,2,80,49.44,16.08
Mahébourg,MU,-20.4081,57.7,1651192399,40,94,74.25,3.44
Adrar,MR,20.5022,-10.0711,1651192399,0,15,73.47,8.99
Bathsheba,BB,13.2167,-59.5167,1651192399,40,83,81.21,14.97
Juneau,US,58.3019,-134.4197,1651192400,40,85,50.0,12.66
Olafsvik,IS,64.8945,-23.7142,1651192400,100,94,45.63,9.46
Port Lincoln,AU,-34.7333,135.8667,1651192400,100,66,66.13,13.69
Poplar Bluff,US,36.757,-90.3929,1651192170,100,72,69.58,4.61
